accession,name,length,organism,label,subcategory,pfam_ids,go_terms,function_description,sequence_identity_to_nearest_threat,is_hard_negative
O17185,SUP9_CAEEL,329,Caenorhabditis elegans,benign,pore_nontoxin,['PF07885'],"['GO:0036195:C:muscle cell projection membrane', 'GO:0005886:C:plasma membrane', 'GO:0055120:C:striated muscle dense body', 'GO:0015271:F:outward rectifier potassium channel activity', 'GO:0005267:F:potassium channel activity', 'GO:0022841:F:potassium ion leak channel activity', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0006813:P:potassium ion transport', 'GO:0006937:P:regulation of muscle contraction']",Potassium channel involved in coordination of muscle contraction (PubMed:14534247). Activity is regulated by sup-18 (PubMed:24586202),,True
Q94KI8,TPC1_ARATH,733,Arabidopsis thaliana,benign,pore_nontoxin,['PF00520'],"['GO:0005829:C:cytosol', 'GO:0005794:C:Golgi apparatus', 'GO:0034702:C:monoatomic ion channel complex', 'GO:0000325:C:plant-type vacuole', 'GO:0005886:C:plasma membrane', 'GO:0005774:C:vacuolar membrane', 'GO:0005773:C:vacuole', 'GO:0005262:F:calcium channel activity', 'GO:0005509:F:calcium ion binding', 'GO:0042802:F:identical protein binding', 'GO:0005245:F:voltage-gated calcium channel activity', 'GO:0006816:P:calcium ion transport', 'GO:0019722:P:calcium-mediated signaling', 'GO:0080141:P:regulation of jasmonic acid biosynthetic process', 'GO:0010119:P:regulation of stomatal movement', 'GO:0009845:P:seed germination']",Functions as a voltage-gated inward-rectifying Ca(2+) channel (VDCC) across the vacuole membrane. Is one of the essential components of the slow vacuolar (SV) channel. Acts as the major ROS-responsive Ca(2+) channel and is the possible target of Al-dependent inhibition. Involved in the regulation of germination and stomatal movement,,True
Q38849,KAT2_ARATH,697,Arabidopsis thaliana,benign,pore_nontoxin,"['PF00027', 'PF00520', 'PF11834']","['GO:0034702:C:monoatomic ion channel complex', 'GO:0005242:F:inward rectifier potassium channel activity', 'GO:0007623:P:circadian rhythm', 'GO:0009644:P:response to high light intensity', 'GO:0010118:P:stomatal movement']","Highly selective inward-rectifying potassium channel. This voltage-dependent channel could mediate long-term potassium influx into guard cells leading to stomatal opening. Assuming opened or closed conformations in response to the voltage difference across the membrane, the channel is activated by hyperpolarization. The channel activity is enhanced upon external acidification",,True
Q9R1T9,KCNH4_RAT,1017,Rattus norvegicus,benign,pore_nontoxin,"['PF00520', 'PF13426']","['GO:0034702:C:monoatomic ion channel complex', 'GO:0005886:C:plasma membrane', 'GO:0005242:F:inward rectifier potassium channel activity', 'GO:0005249:F:voltage-gated potassium channel activity', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0042391:P:regulation of membrane potential']","Pore-forming (alpha) subunit of a voltage-gated delayed rectifier (PubMed:9824707). Activates at more negative voltages, exhibits fast prepulse-independent activation kinetics and deactivates much more slowly, but shows no inactivation (PubMed:9824707)",,True
Q8TDI8,TMC1_HUMAN,760,Homo sapiens,benign,pore_nontoxin,['PF07810'],"['GO:0009897:C:external side of plasma membrane', 'GO:0032420:C:stereocilium', 'GO:0032426:C:stereocilium tip', 'GO:0005262:F:calcium channel activity', 'GO:0008381:F:mechanosensitive monoatomic ion channel activity', 'GO:0005245:F:voltage-gated calcium channel activity', 'GO:0060117:P:auditory receptor cell development', 'GO:0050910:P:detection of mechanical stimulus involved in sensory perception of sound', 'GO:1903169:P:regulation of calcium ion transmembrane transport', 'GO:0060005:P:vestibular reflex']","Pore-forming subunit of the mechanotransducer (MET) non-selective cation channel complex located at the tips of stereocilia of cochlear hair cells and that mediates sensory transduction in the auditory system (By similarity). The MET complex is composed of two dimeric pore-forming ion-conducting transmembrane TMC (TMC1 or TMC2) subunits, and aided by several auxiliary proteins including LHFPL5, TMIE, CIB2/3 and TOMT, and the tip-link PCDH15 (By similarity). MET channel is activated by tension in the tip-link extending from the side wall of one stereocilium to the tip of the adjacent shorter stereocilium, where the channel is located (By similarity). TMC1 MET channel is highly permeable to calcium and likely transports monovalent cations (By similarity). Also involved in vestibular hair cells transduction current (By similarity)",,True
O00198,HRK_HUMAN,91,Homo sapiens,benign,pore_nontoxin,['PF15196'],"['GO:0016020:C:membrane', 'GO:0005739:C:mitochondrion', 'GO:0006915:P:apoptotic process', 'GO:0051365:P:cellular response to potassium ion starvation', 'GO:0043065:P:positive regulation of apoptotic process', 'GO:0043525:P:positive regulation of neuron apoptotic process', 'GO:0031334:P:positive regulation of protein-containing complex assembly', 'GO:0090200:P:positive regulation of release of cytochrome c from mitochondria']",Promotes apoptosis,,True
A8MYU2,KCNU1_HUMAN,1149,Homo sapiens,benign,pore_nontoxin,"['PF03493', 'PF00520', 'PF22614', 'PF21014']","['GO:0016020:C:membrane', 'GO:0034702:C:monoatomic ion channel complex', 'GO:0005886:C:plasma membrane', 'GO:0036126:C:sperm flagellum', 'GO:0005267:F:potassium channel activity', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0022414:P:reproductive process']","Testis-specific potassium channel activated by both intracellular pH and membrane voltage that mediates export of K(+) (PubMed:23129643, PubMed:24670955, PubMed:36649421, PubMed:38267364, PubMed:9452476). Represents the primary spermatozoan K(+) current. The channel underlies a pH-triggered membrane hyperpolarization during the process of sperm capacitation, as sperm encounter the alkaline environment near the ovum in the female reproductive tract, thereby playing an essential for male fertility (PubMed:34980136, PubMed:35551387, PubMed:36649421)",,True
O43526,KCNQ2_HUMAN,872,Homo sapiens,benign,pore_nontoxin,"['PF00520', 'PF16642', 'PF03520', 'PF11956']","['GO:0043194:C:axon initial segment', 'GO:0016020:C:membrane', 'GO:0033268:C:node of Ranvier', 'GO:0005886:C:plasma membrane', 'GO:0045202:C:synapse', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0030506:F:ankyrin binding', 'GO:0005516:F:calmodulin binding', 'GO:0022843:F:voltage-gated monoatomic cation channel activity', 'GO:0005249:F:voltage-gated potassium channel activity', 'GO:0001508:P:action potential', 'GO:0007268:P:chemical synaptic transmission', 'GO:0007399:P:nervous system development', 'GO:0071805:P:potassium ion transmembrane transport']","Pore-forming subunit of the voltage-gated potassium (Kv) M-channel which is responsible for the M-current, a key controller of neuronal excitability (PubMed:24277843, PubMed:28793216, PubMed:9836639). M-channel is composed of pore-forming subunits KCNQ2 and KCNQ3 assembled as heterotetramers (PubMed:10781098, PubMed:14534157, PubMed:32884139, PubMed:37857637, PubMed:9836639). The native M-current has a slowly activating and deactivating potassium conductance which plays a critical role in determining the subthreshold electrical excitability of neurons as well as the responsiveness to synaptic inputs (PubMed:14534157, PubMed:28793216, PubMed:9836639). KCNQ2-KCNQ3 M-channel is selectively permeable in vitro to other cations besides potassium, in decreasing order of affinity K(+) > Rb(+) > Cs(+) > Na(+) (PubMed:28793216). M-channel association with SLC5A3/SMIT1 alters channel ion selectivity, increasing Na(+) and Cs(+) permeation relative to K(+) (PubMed:28793216). Suppressed by activation of the muscarinic acetylcholine receptor CHRM1 (PubMed:10684873, PubMed:10713961)",,True
G3V8R8,KCNK6_RAT,313,Rattus norvegicus,benign,pore_nontoxin,['PF07885'],"['GO:0031902:C:late endosome membrane', 'GO:0005765:C:lysosomal membrane', 'GO:0005886:C:plasma membrane', 'GO:0046872:F:metal ion binding', 'GO:0015271:F:outward rectifier potassium channel activity', 'GO:0005267:F:potassium channel activity', 'GO:0022841:F:potassium ion leak channel activity', 'GO:0003085:P:negative regulation of systemic arterial blood pressure', 'GO:1900227:P:positive regulation of NLRP3 inflammasome complex assembly', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0062196:P:regulation of lysosome size', 'GO:0060075:P:regulation of resting membrane potential', 'GO:0003073:P:regulation of systemic arterial blood pressure']",Does not display channel activity,,True
Q96D31,ORAI1_HUMAN,301,Homo sapiens,benign,pore_nontoxin,['PF07856'],"['GO:0016323:C:basolateral plasma membrane', 'GO:0034704:C:calcium channel complex', 'GO:0071944:C:cell periphery', 'GO:0016020:C:membrane', 'GO:0045121:C:membrane raft', 'GO:0005886:C:plasma membrane', 'GO:0044853:C:plasma membrane raft', 'GO:0005262:F:calcium channel activity', 'GO:0005516:F:calmodulin binding', 'GO:0042802:F:identical protein binding', 'GO:0015279:F:store-operated calcium channel activity', 'GO:0002250:P:adaptive immune response', 'GO:0033173:P:calcineurin-NFAT signaling cascade', 'GO:0070509:P:calcium ion import', 'GO:0070588:P:calcium ion transmembrane transport', 'GO:0017156:P:calcium-ion regulated exocytosis', 'GO:1990806:P:ligand-gated ion channel signaling pathway', 'GO:0061180:P:mammary gland epithelium development', 'GO:0007200:P:phospholipase C-activating G protein-coupled receptor signaling pathway', 'GO:0045762:P:positive regulation of adenylate cyclase activity', 'GO:0051928:P:positive regulation of calcium ion transport', 'GO:0032024:P:positive regulation of insulin secretion', 'GO:0051924:P:regulation of calcium ion transport', 'GO:0002115:P:store-operated calcium entry']",Pore-forming subunit of CRAC channels exclusively,,True
Q9JK45,KCNQ5_MOUSE,933,Mus musculus,benign,pore_nontoxin,"['PF00520', 'PF03520']","['GO:0044305:C:calyx of Held', 'GO:0030118:C:clathrin coat', 'GO:0005886:C:plasma membrane', 'GO:0042734:C:presynaptic membrane', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0099508:F:voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential', 'GO:0005249:F:voltage-gated potassium channel activity', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0006813:P:potassium ion transport']","Pore-forming subunit of the voltage-gated potassium (Kv) channel broadly expressed in brain and skeletal muscle and involved in the regulation of neuronal excitability (PubMed:15963599). Associates with KCNQ3/Kv7.3 pore-forming subunit to form a potassium channel which contributes to M-type current, a slowly activating and deactivating potassium conductance which plays a critical role in determining the subthreshold electrical excitability of neurons (By similarity). Contributes, with other potassium channels, to the molecular diversity of a heterogeneous population of M-channels, varying in kinetic and pharmacological properties, which underlie this physiologically important current (PubMed:15963599). Also forms a functional channel with KCNQ1/Kv7.1 subunit that may contribute to vasoconstriction and hypertension. Channel may be selectively permeable in vitro to other cations besides potassium, in decreasing order of affinity K(+) = Rb(+) > Cs(+) > Na(+) (By similarity)",,True
Q9JK97,KCNQ4_MOUSE,696,Mus musculus,benign,pore_nontoxin,"['PF00520', 'PF03520']","['GO:0009925:C:basal plasma membrane', 'GO:0016020:C:membrane', 'GO:0005886:C:plasma membrane', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0005249:F:voltage-gated potassium channel activity', 'GO:0042472:P:inner ear morphogenesis', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0006813:P:potassium ion transport', 'GO:0007605:P:sensory perception of sound']","Pore-forming subunit of the voltage-gated potassium (Kv) channel involved in the regulation of sensory cells excitability in the cochlea. KCNQ4/Kv7.4 channel is composed of 4 pore-forming subunits assembled as tetramers. Promotes the outflow of potassium ions in the repolarization phase of action potential which plays a role in regulating membrane potential of excitable cells. The channel conducts a slowly activating and deactivating current. Current often shows some inward rectification at positive potentials. Channel may be selectively permeable in vitro to other cations besides potassium, in decreasing order of affinity K(+) = Rb(+) > Cs(+) > Na(+). Important for normal physiological function of inner ear such as sensory perception of sound",,True
G5E845,KCNKG_MOUSE,292,Mus musculus,benign,pore_nontoxin,['PF07885'],"['GO:0005789:C:endoplasmic reticulum membrane', 'GO:0005743:C:mitochondrial inner membrane', 'GO:0005886:C:plasma membrane', 'GO:0042802:F:identical protein binding', 'GO:0046872:F:metal ion binding', 'GO:0015271:F:outward rectifier potassium channel activity', 'GO:0005267:F:potassium channel activity', 'GO:0022841:F:potassium ion leak channel activity', 'GO:0046982:F:protein heterodimerization activity', 'GO:0032469:P:endoplasmic reticulum calcium ion homeostasis', 'GO:0086011:P:membrane repolarization during action potential', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0006813:P:potassium ion transport', 'GO:0098900:P:regulation of action potential', 'GO:0070092:P:regulation of glucagon secretion', 'GO:0061178:P:regulation of insulin secretion involved in cellular response to glucose stimulus', 'GO:0051279:P:regulation of release of sequestered calcium ion into cytosol', 'GO:0090273:P:regulation of somatostatin secretion']","K(+) channel that conducts voltage-dependent outward rectifying currents upon membrane depolarization. Voltage sensing is coupled to K(+) electrochemical gradient in an 'ion flux gating' mode where outward but not inward ion flow opens the gate (By similarity). Homo- and heterodimerizes to form functional channels with distinct regulatory and gating properties (By similarity). In pancreatic islets, conducts K(+) countercurrents for Ca(2+) release from the endoplasmic reticulum (ER) and regulates the frequency and duration of cytosolic Ca(2+) oscillations coupled to secretion of pancreatic hormones (PubMed:26239056, PubMed:28928238, PubMed:29402588). In pancreatic beta cells, drives ER Ca(2+) efflux, which in turn activates Ca(2+)-dependent plasma membrane K(+) slow currents and cytosolic Ca(2+) influx, overall contributing to synchronous cytosolic Ca(2+) oscillations. Limits glucose-induced cytosolic Ca(2+) oscillations coupled to second-phase INS secretion (PubMed:26239056, PubMed:28928238, PubMed:29348619). Contributes to beta cell adaptation to acute inflammation by maintaining normal cytosolic Ca(2+) levels and INS secretion (PubMed:29348619). May regulate beta cell mitochondrial Ca(2+) levels either indirectly via ER Ca(2+) efflux or directly by hyperpolarizing the mitochondrial membrane potential. Limits mitochondrial Ca(2+) oscillations and ATP production involved in glucose homeostasis upon metabolic stress (PubMed:26239056). In pancreatic delta cells, limits Ca(2+)-induced Ca(2+)-release involved in somatostatin secretion and modulates islet paracrine signaling involved in glucagon secretion (PubMed:29402588). Permeable to other monovalent cations such as Rb(+) and Cs(+) (By similarity)",,True
